"","Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","SixPI","FourPI","BoundaryPI","RPI","SixPercent","FourPercent","BoundaryPercent","BallsFacedPI","NOPI"
"29","Gurkeerat Singh",28,24,3,342,51,16.28,272,125.73,0,1,4,36,9,0.375,1.5,1.875,14.25,15.7894736842105,42.1052631578947,57.8947368421053,11.3333333333333,0.125
"30","Harbhajan Singh",147,92,36,931,64,16.62,654,142.35,0,1,13,89,48,0.521739130434783,0.967391304347826,1.48913043478261,10.1195652173913,30.9344790547798,38.2384532760473,69.1729323308271,7.10869565217391,0.391304347826087
"31","HH Gibbs",33,33,3,805,0,26.83,719,111.96,0,5,4,75,29,0.878787878787879,2.27272727272727,3.15151515151515,24.3939393939394,21.6149068322981,37.2670807453416,58.8819875776397,21.7878787878788,0.0909090909090909
"32","IK Pathan",92,75,26,1093,60,44.72,902,241.93,0,1,3,83,37,1.00357142857143,2.24285714285714,3.24642857142857,29.4785714285714,40.2578942024571,60.5652012048601,100.823095407317,24.1928571428571,0.689285714285714
"33","JA Morkel",92,70,31,909,71,23.3,639,142.25,0,2,4,57,52,0.742857142857143,0.814285714285714,1.55714285714286,12.9857142857143,34.3234323432343,25.0825082508251,59.4059405940594,9.12857142857143,0.442857142857143
"34","JEC Franklin",25,21,6,434,79,28.93,410,105.85,0,1,1,32,12,0.571428571428571,1.52380952380952,2.09523809523809,20.6666666666667,16.5898617511521,29.4930875576037,46.0829493087558,19.5238095238095,0.285714285714286
"35","JH Kallis",116,113,18,2874,0,61.56,2603,221.48,0,21,10,290,56,0.99935107073329,5.27547047371836,6.27482154445165,51.5558079169371,23.3072037922601,81.4244338285856,104.731637620846,46.5025957170668,0.323166774821544
"36","JP Duminy",62,58,18,1601,62,78.6,1284,246.14,0,11,1,105,60,1.96770186335404,3.64099378881988,5.60869565217391,54.4782608695652,42.8248625565326,53.7850333731233,96.6098959296558,44.2583850931677,0.603726708074534
"37","JP Faulkner",48,35,16,387,46,20.36,269,143.86,0,0,0,25,23,0.657142857142857,0.714285714285714,1.37142857142857,11.0571428571429,35.6589147286822,25.8397932816538,61.4987080103359,7.68571428571429,0.457142857142857
"38","KA Pollard",128,119,34,2461,78,28.95,1670,147.36,0,11,3,163,160,1.34453781512605,1.36974789915966,2.71428571428571,20.6806722689076,39.0085331166193,26.4932954083706,65.5018285249898,14.0336134453782,0.285714285714286
"39","KC Sangakkara",62,59,3,1567,176,54.78,1256,246.5,0,10,4,182,27,0.889411764705882,6.04117647058824,6.93058823529412,51.9964705882353,20.3810863518655,92.977539065969,113.358625417834,41.9917647058823,0.0988235294117647
"40","KD Karthik",105,94,13,2062,155,51,1655,248.92,0,10,5,194,61,1.30556833870225,4.20156465715601,5.50713299585826,44.0635066728026,35.5403435236229,76.0125746047656,111.552918128389,35.4233778186838,0.27289461573861
"41","KK Nair",25,23,2,511,0,24.33,377,135.54,0,4,0,56,14,0.608695652173913,2.43478260869565,3.04347826086957,22.2173913043478,16.4383561643836,43.8356164383562,60.2739726027397,16.3913043478261,0.0869565217391304
"42","KM Jadhav",41,37,14,566,0,24.6,421,134.44,0,2,4,44,21,0.567567567567568,1.18918918918919,1.75675675675676,15.2972972972973,22.2614840989399,31.095406360424,53.356890459364,11.3783783783784,0.378378378378378
"43","KP Pietersen",23,22,4,672,0,37.33,511,131.5,1,3,1,61,28,1.27272727272727,2.77272727272727,4.04545454545455,30.5454545454545,25,36.3095238095238,61.3095238095238,23.2272727272727,0.181818181818182
