"","X.1","X","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","X100","X50","X0","X4s","X6s","Team"
"56",56,56,"S Tyagi","2009-2010",14,"3","2","3","3*","3.00","4","75.00","0","0","1","0","0","CSK"
"57",57,57,"S Vidyut","2008-2008",9,"8","0","145","54","18.12","109","133.02","0","1","1","21","3","CSK"
"58",58,58,"M Vijay","2009-2013",83,"83","4","2097","127","26.54","1672","125.41","2","10","5","193","81","CSK"
"59",59,1,"Abhinav Kumar","2009-2009",1,"1","0","1","1","1.00","3","33.33","0","0","0","0","0","DC"
"60",60,2,"Anand Rajan","2011-2012",6,"-","-","-","-","-","-","-","-","-","-","-","-","DC"
"61",61,3,"Anirudh Singh","2010-2010",5,"4","0","63","40","15.75","66","95.45","0","0","1","6","1","DC"
"62",62,4,"Ankit Sharma","2012-2012",9,"4","1","18","15","6.00","13","138.46","0","0","0","0","2","DC"
"63",63,5,"A Ashish Reddy","2012-2012",9,"5","1","35","10*","8.75","29","120.68","0","0","0","3","1","DC"
"64",64,6,"SB Bangar","2008-2008",11,"7","1","47","17*","7.83","49","95.91","0","0","1","1","3","DC"
"65",65,7,"AA Bilakhia","2009-2010",7,"7","2","69","22","13.80","85","81.17","0","0","0","5","0","DC"
"66",66,8,"B Chipli","2011-2012",19,"17","6","244","61*","22.18","205","119.02","0","1","0","24","6","DC"
"67",67,9,"DT Christian","2011-2012",21,"20","4","335","39","20.93","277","120.93","0","0","1","17","13","DC"
"68",68,10,"H Das","2008-2008",1,"1","0","2","2","2.00","5","40.00","0","0","0","0","0","DC"
"69",69,11,"KH Devdhar","2011-2011",1,"-","-","-","-","-","-","-","-","-","-","-","-","DC"
"70",70,12,"S Dhawan","2011-2012",29,"29","3","969","95*","37.26","749","129.37","0","7","0","105","25","DC"
"71",71,13,"JP Duminy","2011-2012",19,"19","6","449","74","34.53","364","123.35","0","3","0","22","19","DC"
"72",72,14,"FH Edwards","2009-2009",8,"4","2","12","8*","6.00","13","92.30","0","0","1","1","0","DC"
"73",73,15,"HH Gibbs","2008-2010",33,"33","3","805","69*","26.83","719","111.96","0","5","4","75","29","DC"
