"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"105","Daredevils","Sunrisers","Sunrisers","6 runs","Raipur","May 9, 2015","T20"
"106","Mum Indians","RCB","RCB","39 runs","Mumbai","May 10, 2015","T20"
"107","Super Kings","Royals","Super Kings","12 runs","Chennai","May 10, 2015","T20"
"108","Sunrisers","Kings XI","Sunrisers","5 runs","Hyderabad (Deccan)","May 11, 2015","T20"
"109","Daredevils","Super Kings","Daredevils","6 wickets","Raipur","May 12, 2015","T20"
"110","Kings XI","RCB","Kings XI","22 runs","Mohali","May 13, 2015","T20"
"111","Mum Indians","KKR","Mum Indians","5 runs","Mumbai","May 14, 2015","T20"
"112","Sunrisers","RCB","RCB","6 wickets","Hyderabad (Deccan)","May 15, 2015","T20"
"113","Kings XI","Super Kings","Super Kings","7 wickets","Mohali","May 16, 2015","T20"
"114","Royals","KKR","Royals","9 runs","Mumbai (BS)","May 16, 2015","T20"
"115","RCB","Daredevils","no result","","Bangalore","May 17, 2015","T20"
"116","Sunrisers","Mum Indians","Mum Indians","9 wickets","Hyderabad (Deccan)","May 17, 2015","T20"
"117","Super Kings","Mum Indians","Mum Indians","25 runs","Mumbai","May 19, 2015","T20"
"118","RCB","Royals","RCB","71 runs","Pune","May 20, 2015","T20"
"119","Super Kings","RCB","Super Kings","3 wickets","Ranchi","May 22, 2015","T20"
"120","Mum Indians","Super Kings","Mum Indians","41 runs","Kolkata","May 24, 2015","T20"
"121","Mum Indians","KKR","KKR","41 runs","Abu Dhabi","Apr 16, 2014","T20"
"122","Daredevils","RCB","RCB","8 wickets","Sharjah","Apr 17, 2014","T20"
"123","Super Kings","Kings XI","Kings XI","6 wickets","Abu Dhabi","Apr 18, 2014","T20"
"124","Sunrisers","Royals","Royals","4 wickets","Abu Dhabi","Apr 18, 2014","T20"
"125","RCB","Mum Indians","RCB","7 wickets","Dubai (DSC)","Apr 19, 2014","T20"
"126","KKR","Daredevils","Daredevils","4 wickets","Dubai (DSC)","Apr 19, 2014","T20"
"127","Royals","Kings XI","Kings XI","7 wickets","Sharjah","Apr 20, 2014","T20"
"128","Super Kings","Daredevils","Super Kings","93 runs","Abu Dhabi","Apr 21, 2014","T20"
"129","Kings XI","Sunrisers","Kings XI","72 runs","Sharjah","Apr 22, 2014","T20"
"130","Royals","Super Kings","Super Kings","7 runs","Dubai (DSC)","Apr 23, 2014","T20"
"131","RCB","KKR","KKR","2 runs","Sharjah","Apr 24, 2014","T20"
"132","Sunrisers","Daredevils","Sunrisers","4 runs","Dubai (DSC)","Apr 25, 2014","T20"
"133","Super Kings","Mum Indians","Super Kings","7 wickets","Dubai (DSC)","Apr 25, 2014","T20"
"134","Royals","RCB","Royals","6 wickets","Abu Dhabi","Apr 26, 2014","T20"
"135","KKR","Kings XI","Kings XI","23 runs","Abu Dhabi","Apr 26, 2014","T20"
"136","Daredevils","Mum Indians","Daredevils","6 wickets","Sharjah","Apr 27, 2014","T20"
"137","Sunrisers","Super Kings","Super Kings","5 wickets","Sharjah","Apr 27, 2014","T20"
"138","Kings XI","RCB","Kings XI","5 wickets","Dubai (DSC)","Apr 28, 2014","T20"
"139","KKR","Royals","tied","","Abu Dhabi","Apr 29, 2014","T20"
"140","Mum Indians","Sunrisers","Sunrisers","15 runs","Dubai (DSC)","Apr 30, 2014","T20"
"141","Super Kings","KKR","Super Kings","34 runs","Ranchi","May 2, 2014","T20"
"142","Mum Indians","Kings XI","Mum Indians","5 wickets","Mumbai","May 3, 2014","T20"
"143","Daredevils","Royals","Royals","7 wickets","Delhi","May 3, 2014","T20"
"144","RCB","Sunrisers","RCB","4 wickets","Bangalore","May 4, 2014","T20"
"145","Royals","KKR","Royals","10 runs","Ahmedabad","May 5, 2014","T20"
"146","Daredevils","Super Kings","Super Kings","8 wickets","Delhi","May 5, 2014","T20"
"147","Mum Indians","RCB","Mum Indians","19 runs","Mumbai","May 6, 2014","T20"
"148","Daredevils","KKR","KKR","8 wickets","Delhi","May 7, 2014","T20"
"149","Kings XI","Super Kings","Kings XI","44 runs","Cuttack","May 7, 2014","T20"
"150","Royals","Sunrisers","Sunrisers","32 runs","Ahmedabad","May 8, 2014","T20"
"151","RCB","Kings XI","Kings XI","32 runs","Bangalore","May 9, 2014","T20"
"152","Daredevils","Sunrisers","Sunrisers","8 wickets","Delhi","May 10, 2014","T20"
"153","Mum Indians","Super Kings","Super Kings","4 wickets","Mumbai","May 10, 2014","T20"
"154","Kings XI","KKR","KKR","9 wickets","Cuttack","May 11, 2014","T20"
"155","RCB","Royals","Royals","5 wickets","Bangalore","May 11, 2014","T20"
"156","Sunrisers","Mum Indians","Mum Indians","7 wickets","Hyderabad (Deccan)","May 12, 2014","T20"
"157","Super Kings","Royals","Super Kings","5 wickets","Ranchi","May 13, 2014","T20"
"158","RCB","Daredevils","RCB","16 runs","Bangalore","May 13, 2014","T20"
"159","Sunrisers","Kings XI","Kings XI","6 wickets","Hyderabad (Deccan)","May 14, 2014","T20"
"160","KKR","Mum Indians","KKR","6 wickets","Cuttack","May 14, 2014","T20"
"161","Royals","Daredevils","Royals","62 runs","Ahmedabad","May 15, 2014","T20"
"162","Super Kings","RCB","RCB","5 wickets","Ranchi","May 18, 2014","T20"
"163","Sunrisers","KKR","KKR","7 wickets","Hyderabad (Deccan)","May 18, 2014","T20"
"164","Royals","Mum Indians","Mum Indians","25 runs","Ahmedabad","May 19, 2014","T20"
"165","Daredevils","Kings XI","Kings XI","4 wickets","Delhi","May 19, 2014","T20"
