"","Team 1","Team 2","Winner","Margin","Ground","Match Date","Scorecard"
"340","RCB","Mum Indians","Mum Indians","9 wickets","Bangalore","Apr 12, 2011","T20"
"341","Kings XI","Super Kings","Kings XI","6 wickets","Mohali","Apr 13, 2011","T20"
"342","Warriors","Kochi","Warriors","4 wickets","Mumbai","Apr 13, 2011","T20"
"343","Chargers","RCB","Chargers","33 runs","Hyderabad (Deccan)","Apr 14, 2011","T20"
"344","Royals","KKR","KKR","9 wickets","Jaipur","Apr 15, 2011","T20"
"345","Mum Indians","Kochi","Kochi","8 wickets","Mumbai","Apr 15, 2011","T20"
"346","Super Kings","RCB","Super Kings","21 runs","Chennai","Apr 16, 2011","T20"
"347","Chargers","Kings XI","Kings XI","8 wickets","Hyderabad (Deccan)","Apr 16, 2011","T20"
"348","Warriors","Daredevils","Daredevils","3 wickets","Mumbai","Apr 17, 2011","T20"
"349","KKR","Royals","KKR","8 wickets","Kolkata","Apr 17, 2011","T20"
"350","Kochi","Super Kings","Kochi","7 wickets","Kochi","Apr 18, 2011","T20"
"351","Daredevils","Chargers","Chargers","16 runs","Delhi","Apr 19, 2011","T20"
"352","RCB","Royals","abandoned","","Bangalore","Apr 19, 2011","T20"
"353","Mum Indians","Warriors","Mum Indians","7 wickets","Mumbai","Apr 20, 2011","T20"
"354","KKR","Kochi","Kochi","6 runs","Kolkata","Apr 20, 2011","T20"
"355","Kings XI","Royals","Kings XI","48 runs","Mohali","Apr 21, 2011","T20"
"356","KKR","RCB","RCB","9 wickets","Kolkata","Apr 22, 2011","T20"
"357","Mum Indians","Super Kings","Mum Indians","8 runs","Mumbai","Apr 22, 2011","T20"
"358","Daredevils","Kings XI","Daredevils","29 runs","Delhi","Apr 23, 2011","T20"
"359","Chargers","Mum Indians","Mum Indians","37 runs","Hyderabad (Deccan)","Apr 24, 2011","T20"
"360","Royals","Kochi","Royals","8 wickets","Jaipur","Apr 24, 2011","T20"
"361","Super Kings","Warriors","Super Kings","25 runs","Chennai","Apr 25, 2011","T20"
"362","Daredevils","RCB","RCB","3 wickets","Delhi","Apr 26, 2011","T20"
"363","Warriors","Super Kings","Super Kings","8 wickets","Mumbai","Apr 27, 2011","T20"
"364","Kochi","Chargers","Chargers","55 runs","Kochi","Apr 27, 2011","T20"
"365","Daredevils","KKR","KKR","17 runs","Delhi","Apr 28, 2011","T20"
"366","Royals","Mum Indians","Royals","7 wickets","Jaipur","Apr 29, 2011","T20"
"367","RCB","Warriors","RCB","26 runs","Bangalore","Apr 29, 2011","T20"
"368","Kochi","Daredevils","Daredevils","38 runs","Kochi","Apr 30, 2011","T20"
"369","KKR","Kings XI","KKR","8 wickets","Kolkata","Apr 30, 2011","T20"
"370","Royals","Warriors","Royals","6 wickets","Jaipur","May 1, 2011","T20"
"371","Super Kings","Chargers","Super Kings","19 runs","Chennai","May 1, 2011","T20"
"372","Mum Indians","Kings XI","Mum Indians","23 runs","Mumbai","May 2, 2011","T20"
"373","Daredevils","Kochi","Kochi","7 wickets","Delhi","May 2, 2011","T20"
"374","Chargers","KKR","KKR","20 runs","Hyderabad (Deccan)","May 3, 2011","T20"
"375","Super Kings","Royals","Super Kings","8 wickets","Chennai","May 4, 2011","T20"
"376","Warriors","Mum Indians","Mum Indians","21 runs","Mumbai","May 4, 2011","T20"
"377","Kochi","KKR","Kochi","17 runs","Kochi","May 5, 2011","T20"
"378","Chargers","Daredevils","Daredevils","4 wickets","Hyderabad (Deccan)","May 5, 2011","T20"
"379","RCB","Kings XI","RCB","85 runs","Bangalore","May 6, 2011","T20"
"380","KKR","Super Kings","KKR","10 runs","Kolkata","May 7, 2011","T20"
"381","Mum Indians","Daredevils","Mum Indians","32 runs","Mumbai","May 7, 2011","T20"
"382","RCB","Kochi","RCB","9 wickets","Bangalore","May 8, 2011","T20"
"383","Kings XI","Warriors","Warriors","5 wickets","Mohali","May 8, 2011","T20"
"384","Royals","Super Kings","Super Kings","63 runs","Jaipur","May 9, 2011","T20"
"385","Chargers","Warriors","Warriors","6 wickets","Hyderabad (Deccan)","May 10, 2011","T20"
"386","Kings XI","Mum Indians","Kings XI","76 runs","Mohali","May 10, 2011","T20"
"387","Royals","RCB","RCB","9 wickets","Jaipur","May 11, 2011","T20"
"388","Super Kings","Daredevils","Super Kings","18 runs","Chennai","May 12, 2011","T20"
"389","Kochi","Kings XI","Kings XI","6 wickets","Indore","May 13, 2011","T20"
"390","RCB","KKR","RCB","4 wickets","Bangalore","May 14, 2011","T20"
"391","Mum Indians","Chargers","Chargers","10 runs","Mumbai","May 14, 2011","T20"
"392","Kings XI","Daredevils","Kings XI","29 runs","Dharamsala","May 15, 2011","T20"
"393","Kochi","Royals","Kochi","8 wickets","Indore","May 15, 2011","T20"
"394","Warriors","Chargers","Chargers","6 wickets","Mumbai","May 16, 2011","T20"
"395","Kings XI","RCB","Kings XI","111 runs","Dharamsala","May 17, 2011","T20"
"396","Super Kings","Kochi","Super Kings","11 runs","Chennai","May 18, 2011","T20"
"397","Warriors","KKR","KKR","7 wickets","Mumbai","May 19, 2011","T20"
"398","Mum Indians","Royals","Royals","10 wickets","Mumbai","May 20, 2011","T20"
"399","Kings XI","Chargers","Chargers","82 runs","Dharamsala","May 21, 2011","T20"
"400","Daredevils","Warriors","no result","","Delhi","May 21, 2011","T20"
"401","RCB","Super Kings","RCB","8 wickets","Bangalore","May 22, 2011","T20"
"402","KKR","Mum Indians","Mum Indians","5 wickets","Kolkata","May 22, 2011","T20"
"403","RCB","Super Kings","Super Kings","6 wickets","Mumbai","May 24, 2011","T20"
"404","KKR","Mum Indians","Mum Indians","4 wickets","Mumbai","May 25, 2011","T20"
"405","RCB","Mum Indians","RCB","43 runs","Chennai","May 27, 2011","T20"
"406","Super Kings","RCB","Super Kings","58 runs","Chennai","May 28, 2011","T20"
