"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"66","Sandeep Sharma","2013-2016",43,"9","8","19","7","19.00","29","65.51","0","0","0","1","0"
"67","KC Sangakkara","2008-2010",37,"34","2","1009","94","31.53","779","129.52","0","8","2","117","18"
"68","RR Sarwan","2008-2008",4,"4","0","73","31","18.25","75","97.33","0","0","0","6","1"
"69","R Sathish","2013-2013",9,"8","3","109","27*","21.80","77","141.55","0","0","1","9","5"
"70","V Sehwag","2014-2015",30,"30","0","660","122","22.00","493","133.87","1","2","3","79","23"
"71","MM Sharma","2016-2016",14,"6","2","32","15","8.00","26","123.07","0","0","0","3","1"
"72","Shivam Sharma","2014-2015",5,"2","1","5","4","5.00","3","166.66","0","0","0","1","0"
"73","VRV Singh","2008-2010",19,"2","0","4","4","2.00","3","133.33","0","0","1","1","0"
"74","RS Sodhi","2010-2010",3,"1","1","4","4*","-","2","200.00","0","0","0","1","0"
"75","S Sohal","2008-2010",11,"10","0","119","43","11.90","101","117.82","0","0","2","9","8"
"76","S Sreesanth","2008-2010",28,"8","7","32","15*","32.00","42","76.19","0","0","1","6","0"
"77","SJ Srivastava","2010-2011",14,"4","3","5","3*","5.00","5","100.00","0","0","1","0","0"
"78","TM Srivastava","2008-2009",7,"3","2","8","7","8.00","11","72.72","0","0","0","0","0"
"79","MP Stoinis","2016-2016",7,"5","1","146","52","36.50","108","135.18","0","1","1","13","4"
"80","Sunny Singh","2011-2011",6,"5","1","43","20","10.75","31","138.70","0","0","0","6","1"
"81","Swapnil Singh","2016-2016",1,"1","0","0","0","0.00","1","0.00","0","0","1","0","0"
"82","SN Thakur","2015-2015",1,"1","1","7","7*","-","6","116.66","0","0","0","1","0"
"83","J Theron","2010-2010",7,"2","0","2","2","1.00","5","40.00","0","0","1","0","0"
"84","PC Valthaty","2011-2013",21,"21","1","499","120*","24.95","406","122.90","1","2","1","59","20"
"85","M Vijay","2015-2016",25,"25","1","704","89","29.33","592","118.91","0","5","1","77","18"
"86","M Vohra","2013-2016",39,"37","2","877","67","25.05","666","131.68","0","3","2","92","30"
"87","Yuvraj Singh","2008-2010",43,"42","5","894","58*","24.16","677","132.05","0","3","0","69","49"
