"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"66","R Shukla","2013-2013",7,"3","2","2","1*","2.00","4","50.00","0","0","1","0","0"
"67","A Singh","2009-2012",24,"5","1","2","1*","0.50","10","20.00","0","0","3","0","0"
"68","GC Smith","2008-2010",25,"25","3","697","91","31.68","617","112.96","0","4","2","88","9"
"69","SPD Smith","2014-2015",24,"19","4","440","79*","29.33","331","132.93","0","2","1","46","7"
"70","Sohail Tanvir","2008-2009",12,"5","2","36","13","12.00","29","124.13","0","0","0","3","1"
"71","TG Southee","2014-2015",10,"4","2","17","7*","8.50","13","130.76","0","0","0","2","0"
"72","BB Sran","2015-2015",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"73","S Sreesanth","2013-2013",7,"3","2","1","1*","1.00","4","25.00","0","0","1","0","0"
"74","SW Tait","2010-2013",21,"5","2","23","11","7.66","26","88.46","0","0","1","1","1"
"75","PV Tambe","2013-2015",31,"6","4","11","3*","5.50","20","55.00","0","0","0","0","0"
"76","LRPL Taylor","2011-2011",12,"11","6","181","47*","36.20","152","119.07","0","0","1","11","7"
"77","R Tewatia","2014-2015",4,"1","0","16","16","16.00","13","123.07","0","0","0","0","1"
"78","J Theron","2015-2015",1,"1","1","1","1*","-","1","100.00","0","0","0","0","0"
"79","SK Trivedi","2008-2013",76,"15","8","42","9","6.00","59","71.18","0","0","1","3","1"
"80","A Uniyal","2010-2010",2,"2","1","4","4*","4.00","7","57.14","0","0","1","0","0"
"81","PC Valthaty","2009-2009",2,"2","0","6","5","3.00","12","50.00","0","0","0","1","0"
"82","AC Voges","2010-2010",9,"7","3","181","45*","45.25","143","126.57","0","0","0","15","3"
"83","SB Wagh","2010-2010",1,"-","-","-","-","-","-","-","-","-","-","-","-"
"84","SK Warne","2008-2011",56,"29","9","198","34*","9.90","214","92.52","0","0","7","14","6"
"85","SR Watson","2008-2015",84,"81","12","2474","104*","35.85","1765","140.16","2","14","2","245","114"
"86","DH Yagnik","2011-2014",27,"19","7","176","34","14.66","143","123.07","0","0","2","24","2"
"87","Younis Khan","2008-2008",1,"1","0","3","3","3.00","7","42.85","0","0","0","0","0"
