"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"66","SMSM Senanayake","2013-2013",8,"4","3","10","7*","10.00","17","58.82","0","0","0","0","0"
"67","OA Shah","2010-2010",5,"5","3","115","58*","57.50","95","121.05","0","1","0","7","5"
"68","SS Shaikh","2009-2009",2,"1","0","6","6","6.00","7","85.71","0","0","0","1","0"
"69","Shakib Al Hasan","2011-2016",48,"35","8","542","66*","20.07","430","126.04","0","2","2","46","17"
"70","I Sharma","2008-2010",31,"11","7","33","9","8.25","41","80.48","0","0","1","2","1"
"71","Shoaib Akhtar","2008-2008",3,"1","0","2","2","2.00","7","28.57","0","0","0","0","0"
"72","LR Shukla","2008-2013",42,"31","7","374","48*","15.58","312","119.87","0","0","2","31","14"
"73","T Taibu","2008-2008",3,"3","0","31","15","10.33","26","119.23","0","0","0","3","0"
"74","RN ten Doeschate","2011-2015",41,"29","9","485","70*","24.25","357","135.85","0","2","4","35","22"
"75","MK Tiwary","2010-2013",64,"56","16","1136","75*","28.40","1029","110.39","0","4","6","94","26"
"76","Umar Gul","2008-2008",6,"4","1","39","24","13.00","19","205.26","0","0","0","1","5"
"77","JD Unadkat","2010-2016",15,"-","-","-","-","-","-","-","-","-","-","-","-"
"78","RV Uthappa","2014-2016",49,"49","3","1628","85*","35.39","1205","135.10","0","10","2","189","36"
"79","MN van Wyk","2009-2009",5,"5","2","167","74","55.66","132","126.51","0","1","1","19","1"
"80","R Vinay Kumar","2014-2014",9,"4","2","4","4","2.00","6","66.66","0","0","1","0","0"
"81","SA Yadav","2014-2016",50,"38","15","579","60","25.17","416","139.18","0","1","2","49","24"
"82","UT Yadav","2014-2016",34,"7","4","40","24*","13.33","23","173.91","0","0","1","5","2"
"83","Yashpal Singh","2009-2009",8,"4","0","47","20","11.75","66","71.21","0","0","0","5","0"
