"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s"
"66","HV Patel","2012-2016",35,"14","5","47","10","5.22","34","138.23","0","0","3","2","3"
"67","PA Patel","2014-2014",12,"12","2","205","57*","20.50","185","110.81","0","1","0","30","1"
"68","AUK Pathan","2011-2012",8,"7","2","39","14","7.80","23","169.56","0","0","2","5","2"
"69","DT Patil","2008-2008",2,"2","0","13","9","6.50","13","100.00","0","0","0","1","0"
"70","KP Pietersen","2009-2010",13,"13","3","329","66*","32.90","242","135.95","0","2","2","31","10"
"71","LA Pomersbach","2011-2011",5,"4","0","51","29","12.75","39","130.76","0","0","0","4","2"
"72","CA Pujara","2011-2013",14,"10","0","143","51","14.30","152","94.07","0","1","1","19","1"
"73","KL Rahul","2013-2016",19,"14","3","417","68*","37.90","287","145.29","0","4","1","41","16"
"74","R Rampaul","2013-2014",12,"7","2","51","23*","10.20","50","102.00","0","0","3","3","2"
"75","S Rana","2014-2014",9,"7","4","73","19*","24.33","65","112.30","0","0","0","7","1"
"76","KW Richardson","2016-2016",4,"1","1","1","1*","-","1","100.00","0","0","0","0","0"
"77","RR Rossouw","2014-2015",5,"5","0","53","24","10.60","51","103.92","0","0","1","3","3"
"78","JD Ryder","2009-2009",5,"5","0","56","32","11.20","49","114.28","0","0","2","9","0"
"79","Sachin Baby","2016-2016",11,"6","2","119","33","29.75","79","150.63","0","0","1","9","5"
"80","DJG Sammy","2015-2015",2,"2","0","13","7","6.50","18","72.22","0","0","0","0","0"
"81","T Shamsi","2016-2016",4,"-","-","-","-","-","-","-","-","-","-","-","-"
"82","KV Sharma","2009-2009",1,"1","0","1","1","1.00","3","33.33","0","0","0","0","0"
"83","RP Singh","2013-2013",11,"-","-","-","-","-","-","-","-","-","-","-","-"
"84","S Sriram","2010-2010",1,"1","0","27","27","27.00","29","93.10","0","0","0","3","0"
"85","MA Starc","2014-2015",27,"12","5","96","29","13.71","98","97.95","0","0","0","10","0"
"86","DW Steyn","2008-2010",35,"9","2","15","8","2.14","26","57.69","0","0","4","2","0"
"87","J Syed Mohammad","2011-2013",15,"8","4","45","13*","11.25","36","125.00","0","0","0","6","0"
"88","YV Takawale","2014-2014",5,"5","0","104","45","20.80","91","114.28","0","0","2","17","1"
"89","LRPL Taylor","2008-2010",31,"30","7","733","81*","31.86","493","148.68","0","4","1","57","43"
"90","SS Tiwary","2011-2013",46,"36","10","578","52","22.23","542","106.64","0","1","1","30","23"
"91","JD Unadkat","2013-2013",13,"2","2","2","1*","-","2","100.00","0","0","0","0","0"
"92","RV Uthappa","2009-2010",40,"36","5","706","68*","22.77","506","139.52","0","5","2","59","36"
"93","RE van der Merwe","2009-2010",15,"10","1","126","35","14.00","106","118.86","0","0","0","8","8"
"94","JJ van der Wath","2011-2011",3,"3","1","18","14*","9.00","16","112.50","0","0","1","1","1"
"95","DL Vettori","2011-2012",28,"15","5","116","44","11.60","92","126.08","0","0","1","10","5"
"96","R Vinay Kumar","2008-2013",70,"31","11","252","26*","12.60","218","115.59","0","0","2","16","8"
"97","SR Watson","2016-2016",16,"15","2","179","36","13.76","134","133.58","0","0","1","14","12"
"98","CL White","2008-2010",20,"17","5","226","31*","18.83","194","116.49","0","0","1","13","9"
"99","D Wiese","2015-2016",15,"8","4","127","47*","31.75","90","141.11","0","0","0","12","4"
"100","Yuvraj Singh","2014-2014",14,"14","3","376","83","34.18","278","135.25","0","3","1","22","28"
"101","VH Zol","2014-2014",3,"2","0","29","16","14.50","26","111.53","0","0","0","3","1"
